169917,48266
277216,1997
16358,9428
78117,276
45881,4584
395834,33431
273153,49007
370663,20502
8981,334
74997,16430
273153,11632
1913,1165
4552,1925
11208,858
39851,627
281957,6947
34671,11372
504608,15237
20128,127
9967,1595
18587,205
34099,217
12580,246
12604,634
13073,10564
10740,269
15058,226
61979,56903
37645,24653
13969,11137
16791,10601
363676,2567
572468,83144
5961,1126
120515,4507
14883,12271
9596,27
235260,615
3132,2502
427900,363
924,637
34544,21115
12140,11633
75174,11866
44656,11807
227719,14337
74997,52796
376660,24363
11529,594
594,436
19294,9813
78307,17130
80346,3580
392044,20357
10819,712
9679,2502
370663,47120
451915,34843
10781,3056
15318,1923
376867,12812
10296,8923
72051,11022
205587,421
9596,525
74997,13542
254470,11399
266856,20544
376867,342
2567,769
25755,9880
3580,1640
10103,2313
21198,20352
37797,12924
44656,12242
179144,12281
45881,628
40876,40247
13969,303
26933,17651
52512,20128
362826,12583
331482,9675
32298,27066
141733,15775
74643,57289
9769,5460
75780,1640
50124,41472
59700,13377
36670,10589
347031,13678
36630,4380
72051,9737
44593,829
68812,16133
18711,963
52796,11564
80346,949
11036,1246
264644,9509
16048,14883
27066,14883
44415,11674
14462,586
21776,949
10742,9437
49007,10735
31781,650
390051,842
222053,34099
1126,527
43234,10609
357096,12612
23857,581
664413,276
205596,1966
48594,2044
13373,13007
74997,205
49519,1901
33403,334
22238,10661
377154,220029
16791,14128
313369,5528
44125,18475
52538,28031
326359,25379
11184,9453
371608,45759
432836,15859
24469,9953
23954,20912
87101,11662
21634,26
357096,12877
225574,10145
15318,7857
228150,613
398181,10367
1552,421
4251,4175
281957,15058
8849,769
400090,12877
181283,11109
400090,15058
26280,11171
59700,51052
27066,23601
866,334
154400,13373
82618,16605
858,80
866,470
33431,320
83144,9798
11328,11229
21634,4676
41472,15802
449176,25350
2517,616
38878,217
11162,1786
16430,10017
22954,16635
389015,34843
2517,1562
228150,34671
436,267
5473,4836
316029,71043
57685,11564
23601,22152
40876,12271
339397,40976
200727,13073
32444,11421
10103,858
32171,10312
11162,4517
376867,59474
107846,54582
14846,891
9596,786
281957,28740
32528,11620
1997,334
293670,10367
1280,638
14978,5723
449176,2003
75656,51363
5319,4251
10677,9762
15069,205
36799,26933
4369,1966
33294,18620
11662,11633
50270,4974
17452,10669
186992,11171
300,38
281957,13678
16430,11564
15644,101
466272,41747
369972,15774
22080,588
14114,9817
370663,54582
22238,11931
377154,36799
27066,14653
28769,17979
9738,594
12281,12271
140300,9550
1371,70
314365,101280
6963,1901
16232,2300
438674,842
12924,9323
14462,12201
390051,10145
582596,20495
52796,949
59444,13073
32868,32298
48594,77
10417,424
15503,10999
27069,1378
51363,2291
25283,422
332562,14024
7548,634
157336,17110
24747,10474
250643,15859
37645,4836
109689,56903
26579,281
14247,682
466282,25755
112479,28468
20344,7862
16131,11236
52796,101
602147,15503
284276,12483
339380,71043
9830,8545
16232,10474
16430,949
1280,713
14846,2253
186992,140
20344,15764
382748,16605
11423,205
14247,7485
1246,70
19180,8665
235708,86331
13373,11004
41171,11881
20344,424
28468,1944
396371,80346
21634,12812
47413,11309
11658,2440
500919,11109
86676,10818
78307,9813
339380,101280
17452,10527
10947,9833
81899,5552
700785,16232
14313,4974
17360,16232
47120,28468
21776,11027
522924,924
111969,363
6478,872
32528,967
39851,10474
1903,363
13542,8834
9688,862
273153,33623
21776,189
467938,11636
9393,7862
41714,10017
10367,7457
515001,9393
449176,11534
703,436
7548,979
12703,979
454467,28769
55234,26558
12604,9813
133805,15058
206487,14337
14024,11887
376660,9953
14292,10474
326359,3875
21290,11899
121856,25631
110160,20941
169917,7548
16131,8587
16791,11224
72051,2142
26463,10437
7972,1901
193893,80346
20912,8012
205596,59474
14462,6415
61483,20128
396371,1913
20148,15708
40976,1280
10103,8390
31781,8882
11835,2502
291549,21115
21175,13971
10247,9391
17452,10603
57174,6557
709614,83144
44415,12230
23048,14337
8906,8846
25460,11027
18126,6478
21175,612
11099,922
160165,36799
40976,713
25126,961
4253,3989
46342,984
25283,9427
12604,570
122906,9528
416477,1404
12580,9093
74997,15644
11423,1538
4836,4771
50838,13373
45759,1696
2567,462
438799,20344
36536,594
1677,525
370663,57825
228150,20344
9393,637
57214,27799
45132,25126
120515,843
2319,252
17130,5460
39781,20502
15927,4251
11588,8834
345887,40990
9339,924
450608,25350
44960,11128
12612,8090
13666,10361
14211,421
281957,24685
36353,101
12109,637
334543,14134
549053,41171
14092,12140
206296,11130
179144,48266
87093,34308
342737,78307
10054,1997
12543,96
637,464
2288,688
568332,27
487558,20544
235708,28468
25538,9830
12583,7131
535292,83144
17478,9912
450608,27091
11423,1640
25350,15708
250657,9372
325189,27799
33294,11421
22705,5460
33660,9391
303858,9692
40056,17483
120515,258
314365,140
34671,424
302156,41847
11169,9388
66153,39403
20125,4258
11859,10742
11208,8390
14292,9390
449176,20148
424694,442
20125,5060
1903,38
416477,4599
16995,13542
74997,615
449176,220029
4836,101
26579,8443
4251,1414
14883,1259
277216,401
20912,769
27066,844
10589,8848
57586,17452
57289,10242
290098,21115
55846,45759
289222,10417
4251,513
18587,10356
2841,2501
112160,11184
58857,12580
52512,616
177622,14978
44564,10740
120515,27066
401,334
28468,8846
228165,2319
15774,568
4347,1944
32528,98
11328,2001
299534,14337
457136,8981
11099,829
